"vacina_dataaplicacao","paciente_endereco_nmmunicipio","_col2"
"2021-01-23","RIBEIRAO PRETO","122"
"2021-09-24","PETROLINA","77"
"2021-10-11","JUNDIAI","2"
"2021-01-31","DIVINOPOLIS","3"
"2021-03-19","NITEROI","1332"
"2021-07-15","RIBEIRAO PRETO","2662"
"2021-07-17","PETROLINA","445"
"2021-07-03","JUNDIAI","1823"
"2021-08-07","SANTA MARIA","5313"
"2021-05-27","SANTA MARIA","742"
"2021-03-12","ACAILANDIA","42"
"2021-04-06","DIVINOPOLIS","963"
"2021-03-20","RIBEIRAO PRETO","3453"
"2021-02-06","RIBEIRAO PRETO","97"
"2021-05-21","PETROLINA","603"
"2021-06-02","DIVINOPOLIS","623"
"2021-05-13","SANTA MARIA","2103"
"2021-05-23","PETROLINA","333"
"2021-08-17","SANTA MARIA","7591"
"2021-09-23","MARINGA","1380"
"2021-02-26","JUNDIAI","282"
"2021-06-03","MARINGA","490"
"2021-06-11","ACAILANDIA","352"
"2021-02-27","MARINGA","455"
"2021-01-29","SANTA LUZIA","63"
"2021-06-27","DIVINOPOLIS","2"
"2021-08-08","NITEROI","8"
"2021-05-09","FEIRA DE SANTANA","3"
"2021-03-16","NITEROI","3126"
"2021-07-24","SANTA LUZIA","543"
"2021-07-12","RIBEIRAO PRETO","3376"
"2021-04-05","DIVINOPOLIS","1012"
"2021-06-10","ACAILANDIA","557"
"2021-07-20","FEIRA DE SANTANA","1736"
"2021-05-22","RIBEIRAO PRETO","1950"
"2021-07-29","SANTA MARIA","7571"
"2021-04-16","SANTA LUZIA","773"
"2021-03-17","ACAILANDIA","129"
"2021-02-01","FEIRA DE SANTANA","398"
"2021-07-29","DIVINOPOLIS","1346"
"2021-05-27","RIBEIRAO PRETO","1713"
"2021-05-19","SANTA LUZIA","825"
"2021-04-18","PETROLINA","133"
"2021-05-11","ACAILANDIA","152"
"2021-08-24","FEIRA DE SANTANA","271"
"2021-01-20","ACAILANDIA","34"
"2021-10-05","RIBEIRAO PRETO","14"
"2021-05-02","FEIRA DE SANTANA","31"
"2021-01-17","NITEROI","4"
"2021-10-12","NITEROI","1"
"2021-04-12","NITEROI","9142"
"2021-08-17","NITEROI","8626"
"2021-09-03","NITEROI","7501"
"2021-05-08","NITEROI","940"
"2021-06-24","FEIRA DE SANTANA","207"
"2021-06-17","RIBEIRAO PRETO","3256"
"2021-07-29","RIBEIRAO PRETO","3504"
"2021-02-10","SANTA MARIA","531"
"2021-03-05","JUNDIAI","746"
"2021-02-18","RIBEIRAO PRETO","1602"
"2021-07-30","SANTA MARIA","1156"
"2021-09-10","SANTA MARIA","8885"
"2021-04-30","DIVINOPOLIS","45"
"2021-05-30","NITEROI","29"
"2021-03-29","ACAILANDIA","192"
"2021-09-07","JUNDIAI","398"
"2021-06-08","ACAILANDIA","228"
"2021-09-27","RIBEIRAO PRETO","4"
"2021-04-11","MARINGA","23"
"2021-02-23","NITEROI","864"
"2021-07-08","NITEROI","5201"
"2021-08-27","PETROLINA","979"
"2021-07-23","RIBEIRAO PRETO","2700"
"2021-03-29","PETROLINA","1457"
"2021-07-26","RIBEIRAO PRETO","3213"
"2021-04-05","JUNDIAI","734"
"2021-07-10","RIBEIRAO PRETO","227"
"2021-05-18","MARINGA","776"
"2021-02-17","PETROLINA","245"
"2021-07-30","SANTA LUZIA","1058"
"2021-02-26","SANTA MARIA","424"
"2021-08-30","SANTA LUZIA","1791"
"2021-03-13","PETROLINA","239"
"2021-05-13","ACAILANDIA","97"
"2021-01-08","SANTA LUZIA","1"
"2021-06-13","MARINGA","50"
"2021-08-28","ACAILANDIA","37"
"2021-03-14","NITEROI","14"
"2021-01-31","SANTA MARIA","3"
"2021-10-09","SANTA LUZIA","3"
"2021-06-06","JUNDIAI","9"
,"JUNDIAI","3"
"2021-03-25","NITEROI","2077"
"2021-05-15","NITEROI","944"
"2021-07-16","MARINGA","367"
"2021-01-20","SANTA MARIA","1300"
"2021-06-15","SANTA MARIA","6543"
"2021-07-19","FEIRA DE SANTANA","2554"
"2021-04-30","SANTA LUZIA","944"
"2021-04-22","SANTA LUZIA","1165"
"2021-01-26","PETROLINA","98"
"2021-02-12","JUNDIAI","449"
"2021-05-25","FEIRA DE SANTANA","607"
"2021-02-24","SANTA MARIA","752"
"2021-04-09","FEIRA DE SANTANA","548"
"2021-08-23","RIBEIRAO PRETO","1776"
"2021-07-29","MARINGA","568"
"2021-08-06","DIVINOPOLIS","1289"
"2021-10-05","DIVINOPOLIS","2"
"2021-04-28","DIVINOPOLIS","53"
"2021-01-18","NITEROI","8"
"2021-09-17","PETROLINA","1263"
"2021-02-21","FEIRA DE SANTANA","15"
"2021-04-04","RIBEIRAO PRETO","4"
"2021-10-07","NITEROI","3927"
"2021-08-26","NITEROI","6280"
"2021-02-19","NITEROI","1638"
"2021-07-07","SANTA LUZIA","951"
"2021-08-21","MARINGA","206"
"2021-03-24","FEIRA DE SANTANA","873"
"2021-04-03","DIVINOPOLIS","683"
"2021-07-13","DIVINOPOLIS","1646"
"2021-06-22","MARINGA","2327"
"2021-03-30","FEIRA DE SANTANA","1504"
"2021-08-25","RIBEIRAO PRETO","2651"
"2021-10-04","ACAILANDIA","3"
"2021-09-06","RIBEIRAO PRETO","155"
"2021-06-15","DIVINOPOLIS","75"
"2021-06-04","JUNDIAI","119"
"2021-04-13","SANTA LUZIA","501"
"2021-09-24","SANTA LUZIA","363"
"2021-06-27","ACAILANDIA","9"
"2021-09-11","DIVINOPOLIS","623"
"2021-05-02","DIVINOPOLIS","1"
"2021-04-05","NITEROI","9199"
"2021-05-06","NITEROI","4221"
"2021-08-23","SANTA LUZIA","1626"
"2021-03-20","FEIRA DE SANTANA","524"
"2021-07-02","JUNDIAI","2066"
"2021-08-02","FEIRA DE SANTANA","3015"
"2021-02-03","JUNDIAI","183"
"2021-03-27","FEIRA DE SANTANA","1168"
"2021-04-17","RIBEIRAO PRETO","178"
"2021-05-28","SANTA LUZIA","663"
"2021-08-30","SANTA MARIA","1329"
"2021-03-09","SANTA MARIA","265"
"2021-09-24","JUNDIAI","104"
"2021-01-29","JUNDIAI","345"
"2021-02-19","ACAILANDIA","163"
"2021-04-24","RIBEIRAO PRETO","101"
"2021-01-25","FEIRA DE SANTANA","249"
"2021-06-26","DIVINOPOLIS","34"
"2021-10-11","PETROLINA","1"
"2021-08-16","PETROLINA","2159"
"2021-01-18","JUNDIAI","2"
"2021-05-12","NITEROI","4207"
"2021-08-17","SANTA LUZIA","961"
"2021-06-02","RIBEIRAO PRETO","4016"
"2021-06-09","MARINGA","1956"
"2021-07-07","DIVINOPOLIS","1357"
"2021-04-30","MARINGA","372"
"2021-02-22","PETROLINA","211"
"2021-07-31","MARINGA","121"
"2021-02-05","RIBEIRAO PRETO","1002"
"2021-04-28","PETROLINA","571"
"2021-01-24","SANTA MARIA","24"
"2021-02-26","PETROLINA","456"
"2021-01-26","JUNDIAI","237"
"2021-02-25","DIVINOPOLIS","133"
"2021-03-27","ACAILANDIA","24"
"2021-09-07","DIVINOPOLIS","1042"
"2021-03-11","MARINGA","102"
"2021-08-28","JUNDIAI","3491"
"2021-08-28","SANTA LUZIA","660"
"2021-07-22","DIVINOPOLIS","1215"
"2021-02-16","PETROLINA","175"
"2021-05-11","JUNDIAI","1088"
"2021-06-10","MARINGA","2038"
"2021-03-19","SANTA MARIA","501"
"2021-02-08","SANTA MARIA","77"
"2021-03-05","PETROLINA","220"
